,size,sparsity,min,max,cpu_cores,runtime,hardware
0,5000,0.0,1,100,1,122,0
1,5000,0.0,1,1000,1,175,0
2,5000,0.0,1,10000,1,122,0
3,5000,0.0,10,100,1,122,0
4,5000,0.0,10,1000,1,176,0
5,5000,0.0,10,10000,1,121,0
6,5000,0.0,50,100,1,122,0
7,5000,0.0,50,1000,1,121,0
8,5000,0.0,50,10000,1,175,0
9,5000,0.25,1,100,1,122,0
10,5000,0.25,1,1000,1,121,0
11,5000,0.25,1,10000,1,121,0
12,5000,0.25,10,100,1,176,0
13,5000,0.25,10,1000,1,121,0
14,5000,0.25,10,10000,1,121,0
15,5000,0.25,50,100,1,176,0
16,5000,0.25,50,1000,1,122,0
17,5000,0.25,50,10000,1,121,0
18,5000,0.5,1,100,1,121,0
19,5000,0.5,1,1000,1,176,0
20,5000,0.5,1,10000,1,121,0
21,5000,0.5,10,100,1,121,0
22,5000,0.5,10,1000,1,176,0
23,5000,0.5,10,10000,1,121,0
24,5000,0.5,50,100,1,121,0
25,5000,0.5,50,1000,1,122,0
26,5000,0.5,50,10000,1,176,0
27,5000,0.75,1,100,1,121,0
28,5000,0.75,1,1000,1,122,0
29,5000,0.75,1,10000,1,176,0
30,5000,0.75,10,100,1,121,0
31,5000,0.75,10,1000,1,122,0
32,5000,0.75,10,10000,1,122,0
33,5000,0.75,50,100,1,175,0
34,5000,0.75,50,1000,1,121,0
35,5000,0.75,50,10000,1,122,0
36,7500,0.0,1,100,1,659,0
37,7500,0.0,1,1000,1,658,0
38,7500,0.0,1,10000,1,603,0
39,7500,0.0,10,100,1,660,0
40,7500,0.0,10,1000,1,662,0
41,7500,0.0,10,10000,1,659,0
42,7500,0.0,50,100,1,663,0
43,7500,0.0,50,1000,1,717,0
44,7500,0.0,50,10000,1,659,0
45,7500,0.25,1,100,1,659,0
46,7500,0.25,1,1000,1,659,0
47,7500,0.25,1,10000,1,604,0
48,7500,0.25,10,100,1,604,0
49,7500,0.25,10,1000,1,658,0
50,7500,0.25,10,10000,1,657,0
51,7500,0.25,50,100,1,661,0
52,7500,0.25,50,1000,1,661,0
53,7500,0.25,50,10000,1,715,0
54,7500,0.5,1,100,1,603,0
55,7500,0.5,1,1000,1,658,0
56,7500,0.5,1,10000,1,658,0
57,7500,0.5,10,100,1,659,0
58,7500,0.5,10,1000,1,657,0
59,7500,0.5,10,10000,1,659,0
60,7500,0.5,50,100,1,662,0
61,7500,0.5,50,1000,1,658,0
62,7500,0.5,50,10000,1,659,0
63,7500,0.75,1,100,1,659,0
64,7500,0.75,1,1000,1,659,0
65,7500,0.75,1,10000,1,717,0
66,7500,0.75,10,100,1,663,0
67,7500,0.75,10,1000,1,718,0
68,7500,0.75,10,10000,1,716,0
69,7500,0.75,50,100,1,603,0
70,7500,0.75,50,1000,1,660,0
71,7500,0.75,50,10000,1,661,0
72,10000,0.0,1,100,1,1504,0
73,10000,0.0,1,1000,1,1500,0
74,10000,0.0,1,10000,1,1441,0
75,10000,0.0,10,100,1,1442,0
76,10000,0.0,10,1000,1,1500,0
77,10000,0.0,10,10000,1,1558,0
78,10000,0.0,50,100,1,1501,0
79,10000,0.0,50,1000,1,1558,0
80,10000,0.0,50,10000,1,1501,0
81,10000,0.25,1,100,1,1441,0
82,10000,0.25,1,1000,1,1561,0
83,10000,0.25,1,10000,1,1561,0
84,10000,0.25,10,100,1,1558,0
85,10000,0.25,10,1000,1,1440,0
86,10000,0.25,10,10000,1,1500,0
87,10000,0.25,50,100,1,1502,0
88,10000,0.25,50,1000,1,1559,0
89,10000,0.25,50,10000,1,1558,0
90,10000,0.5,1,100,1,1496,0
91,10000,0.5,1,1000,1,1559,0
92,10000,0.5,1,10000,1,1500,0
93,10000,0.5,10,100,1,1557,0
94,10000,0.5,10,1000,1,1502,0
95,10000,0.5,10,10000,1,1556,0
96,10000,0.5,50,100,1,1498,0
97,10000,0.5,50,1000,1,1561,0
98,10000,0.5,50,10000,1,1441,0
99,10000,0.75,1,100,1,1563,0
100,10000,0.75,1,1000,1,1496,0
101,10000,0.75,1,10000,1,1498,0
102,10000,0.75,10,100,1,1501,0
103,10000,0.75,10,1000,1,1620,0
104,10000,0.75,10,10000,1,721,0
105,10000,0.75,50,100,1,721,0
106,10000,0.75,50,1000,1,720,0
107,10000,0.75,50,10000,1,720,0
108,12500,0.0,1,100,1,1440,0
109,12500,0.0,1,1000,1,1440,0
110,12500,0.0,1,10000,1,1385,0
111,12500,0.0,10,100,1,1440,0
112,12500,0.0,10,1000,1,1440,0
113,12500,0.0,10,10000,1,1441,0
114,12500,0.0,50,100,1,1440,0
115,12500,0.0,50,1000,1,1441,0
