size,sparsity,min,max,cpu_cores,runtime,hardware
3000,0.0,1,100,1,3,0
3000,0.0,1,1000,1,2,0
3000,0.0,1,10000,1,57,0
3000,0.0,10,100,1,2,0
3000,0.0,10,1000,1,57,0
3000,0.0,10,10000,1,2,0
3000,0.0,50,100,1,57,0
3000,0.0,50,1000,1,2,0
3000,0.0,50,10000,1,3,0
3000,0.25,1,100,1,56,0
3000,0.25,1,1000,1,3,0
3000,0.25,1,10000,1,56,0
3000,0.25,10,100,1,3,0
3000,0.25,10,1000,1,2,0
3000,0.25,10,10000,1,57,0
3000,0.25,50,100,1,2,0
3000,0.25,50,1000,1,57,0
3000,0.25,50,10000,1,2,0
3000,0.5,1,100,1,57,0
3000,0.5,1,1000,1,2,0
3000,0.5,1,10000,1,3,0
3000,0.5,10,100,1,56,0
3000,0.5,10,1000,1,3,0
3000,0.5,10,10000,1,56,0
3000,0.5,50,100,1,3,0
3000,0.5,50,1000,1,2,0
3000,0.5,50,10000,1,57,0
3000,0.75,1,100,1,2,0
3000,0.75,1,1000,1,56,0
3000,0.75,1,10000,1,3,0
3000,0.75,10,100,1,56,0
3000,0.75,10,1000,1,3,0
3000,0.75,10,10000,1,2,0
3000,0.75,50,100,1,57,0
3000,0.75,50,1000,1,2,0
3000,0.75,50,10000,1,57,0
4000,0.0,1,100,1,60,0
4000,0.0,1,1000,1,59,0
4000,0.0,1,10000,1,59,0
4000,0.0,10,100,1,60,0
4000,0.0,10,1000,1,60,0
4000,0.0,10,10000,1,60,0
4000,0.0,50,100,1,60,0
4000,0.0,50,1000,1,60,0
4000,0.0,50,10000,1,60,0
4000,0.25,1,100,1,60,0
4000,0.25,1,1000,1,5,0
4000,0.25,1,10000,1,5,0
4000,0.25,10,100,1,60,0
4000,0.25,10,1000,1,60,0
4000,0.25,10,10000,1,60,0
4000,0.25,50,100,1,60,0
4000,0.25,50,1000,1,60,0
4000,0.25,50,10000,1,60,0
4000,0.5,1,100,1,60,0
4000,0.5,1,1000,1,60,0
4000,0.5,1,10000,1,59,0
4000,0.5,10,100,1,59,0
4000,0.5,10,1000,1,60,0
4000,0.5,10,10000,1,60,0
4000,0.5,50,100,1,60,0
4000,0.5,50,1000,1,60,0
4000,0.5,50,10000,1,60,0
4000,0.75,1,100,1,60,0
4000,0.75,1,1000,1,60,0
4000,0.75,1,10000,1,60,0
4000,0.75,10,100,1,60,0
4000,0.75,10,1000,1,60,0
4000,0.75,10,10000,1,60,0
4000,0.75,50,100,1,60,0
4000,0.75,50,1000,1,60,0
4000,0.75,50,10000,1,60,0
5000,0.0,1,100,1,122,0
5000,0.0,1,1000,1,175,0
5000,0.0,1,10000,1,122,0
5000,0.0,10,100,1,122,0
5000,0.0,10,1000,1,176,0
5000,0.0,10,10000,1,121,0
5000,0.0,50,100,1,122,0
5000,0.0,50,1000,1,121,0
5000,0.0,50,10000,1,175,0
5000,0.25,1,100,1,122,0
5000,0.25,1,1000,1,121,0
5000,0.25,1,10000,1,121,0
5000,0.25,10,100,1,176,0
5000,0.25,10,1000,1,121,0
5000,0.25,10,10000,1,121,0
5000,0.25,50,100,1,176,0
5000,0.25,50,1000,1,122,0
5000,0.25,50,10000,1,121,0
5000,0.5,1,100,1,121,0
5000,0.5,1,1000,1,176,0
5000,0.5,1,10000,1,121,0
5000,0.5,10,100,1,121,0
5000,0.5,10,1000,1,176,0
5000,0.5,10,10000,1,121,0
5000,0.5,50,100,1,121,0
5000,0.5,50,1000,1,122,0
5000,0.5,50,10000,1,176,0
5000,0.75,1,100,1,121,0
5000,0.75,1,1000,1,122,0
5000,0.75,1,10000,1,176,0
5000,0.75,10,100,1,121,0
5000,0.75,10,1000,1,122,0
5000,0.75,10,10000,1,122,0
5000,0.75,50,100,1,175,0
5000,0.75,50,1000,1,121,0
5000,0.75,50,10000,1,122,0
7500,0.0,1,100,1,659,0
7500,0.0,1,1000,1,658,0
7500,0.0,1,10000,1,603,0
7500,0.0,10,100,1,660,0
7500,0.0,10,1000,1,662,0
7500,0.0,10,10000,1,659,0
7500,0.0,50,100,1,663,0
7500,0.0,50,1000,1,717,0
7500,0.0,50,10000,1,659,0
7500,0.25,1,100,1,659,0
7500,0.25,1,1000,1,659,0
7500,0.25,1,10000,1,604,0
7500,0.25,10,100,1,604,0
7500,0.25,10,1000,1,658,0
7500,0.25,10,10000,1,657,0
7500,0.25,50,100,1,661,0
7500,0.25,50,1000,1,661,0
7500,0.25,50,10000,1,715,0
7500,0.5,1,100,1,603,0
7500,0.5,1,1000,1,658,0
7500,0.5,1,10000,1,658,0
7500,0.5,10,100,1,659,0
7500,0.5,10,1000,1,657,0
7500,0.5,10,10000,1,659,0
7500,0.5,50,100,1,662,0
7500,0.5,50,1000,1,658,0
7500,0.5,50,10000,1,659,0
7500,0.75,1,100,1,659,0
7500,0.75,1,1000,1,659,0
7500,0.75,1,10000,1,717,0
7500,0.75,10,100,1,663,0
7500,0.75,10,1000,1,718,0
7500,0.75,10,10000,1,716,0
7500,0.75,50,100,1,603,0
7500,0.75,50,1000,1,660,0
7500,0.75,50,10000,1,661,0
10000,0.0,1,100,1,1504,0
10000,0.0,1,1000,1,1500,0
10000,0.0,1,10000,1,1441,0
10000,0.0,10,100,1,1442,0
10000,0.0,10,1000,1,1500,0
10000,0.0,10,10000,1,1558,0
10000,0.0,50,100,1,1501,0
10000,0.0,50,1000,1,1558,0
10000,0.0,50,10000,1,1501,0
