,size,sparsity,min,max,cpu_cores,runtime,hardware
0,100,0.0,1,100,1,0,0
1,100,0.0,1,1000,1,0,0
2,100,0.0,1,10000,1,0,0
3,100,0.0,10,100,1,0,0
4,100,0.0,10,1000,1,0,0
5,100,0.0,10,10000,1,0,0
6,100,0.0,50,100,1,0,0
7,100,0.0,50,1000,1,0,0
8,100,0.0,50,10000,1,0,0
9,100,0.25,1,100,1,0,0
10,100,0.25,1,1000,1,0,0
11,100,0.25,1,10000,1,0,0
12,100,0.25,10,100,1,0,0
13,100,0.25,10,10000,1,0,0
14,100,0.25,50,100,1,0,0
15,100,0.25,50,10000,1,0,0
16,100,0.5,1,100,1,0,0
17,100,0.5,1,1000,1,0,0
18,100,0.5,1,10000,1,0,0
19,100,0.5,10,1000,1,0,0
20,100,0.5,10,10000,1,0,0
21,100,0.5,50,100,1,0,0
22,100,0.5,50,1000,1,0,0
23,100,0.75,1,100,1,0,0
24,100,0.75,1,1000,1,0,0
25,100,0.75,1,10000,1,0,0
26,100,0.75,10,10000,1,0,0
27,100,0.75,50,100,1,0,0
28,100,0.75,50,1000,1,0,0
29,100,0.0,1,100,2,0,1
30,100,0.0,1,1000,2,0,1
31,100,0.0,1,10000,2,0,1
32,100,0.0,10,100,2,0,1
33,100,0.0,10,10000,2,0,1
34,100,0.0,50,100,2,0,1
35,100,0.0,50,1000,2,0,1
36,100,0.0,50,10000,2,0,1
37,100,0.25,1,10000,2,0,1
38,100,0.25,10,100,2,0,1
39,100,0.25,10,1000,2,0,1
40,100,0.25,10,10000,2,0,1
41,100,0.25,50,10000,2,0,1
42,100,0.5,1,100,2,0,1
43,100,0.5,1,1000,2,0,1
44,100,0.5,1,10000,2,0,1
45,100,0.5,10,1000,2,0,1
46,100,0.5,10,10000,2,0,1
47,100,0.5,50,100,2,0,1
48,100,0.5,50,1000,2,0,1
49,100,0.5,50,10000,2,0,1
50,100,0.75,1,100,2,0,1
51,100,0.75,1,10000,2,0,1
52,100,0.75,10,100,2,0,1
53,100,0.75,10,1000,2,0,1
54,100,0.75,10,10000,2,0,1
55,100,0.75,50,100,2,0,1
56,100,0.75,50,1000,2,0,1
57,100,0.75,50,10000,2,0,1
58,100,0.0,1,100,3,0,2
59,100,0.0,10,100,3,0,2
60,100,0.0,50,100,3,0,2
61,100,0.0,50,1000,3,0,2
62,100,0.0,50,10000,3,0,2
63,100,0.25,1,100,3,0,2
64,100,0.25,1,10000,3,0,2
65,100,0.25,10,100,3,0,2
66,100,0.25,10,1000,3,0,2
67,100,0.25,10,10000,3,0,2
68,100,0.25,50,100,3,0,2
69,100,0.25,50,1000,3,0,2
70,100,0.25,50,10000,3,0,2
71,100,0.5,1,100,3,0,2
72,100,0.5,1,1000,3,0,2
73,100,0.5,1,10000,3,0,2
74,100,0.5,10,100,3,0,2
75,100,0.5,10,1000,3,0,2
76,100,0.5,10,10000,3,0,2
77,100,0.5,50,100,3,0,2
78,100,0.5,50,1000,3,0,2
79,100,0.5,50,10000,3,0,2
80,100,0.75,1,100,3,0,2
81,100,0.75,1,1000,3,0,2
82,100,0.75,1,10000,3,0,2
83,100,0.75,10,1000,3,0,2
84,100,0.75,50,100,3,0,2
85,100,0.75,50,1000,3,0,2
86,100,0.75,50,10000,3,0,2
87,100,0.0,1,100,4,0,3
88,100,0.0,1,1000,4,0,3
89,100,0.0,1,10000,4,0,3
90,100,0.0,10,1000,4,0,3
91,100,0.0,50,100,4,0,3
92,100,0.0,50,1000,4,0,3
93,100,0.0,50,10000,4,0,3
94,100,0.25,1,100,4,0,3
95,100,0.25,1,10000,4,0,3
96,100,0.25,10,1000,4,0,3
97,100,0.25,10,10000,4,0,3
98,100,0.25,50,100,4,0,3
99,100,0.25,50,1000,4,0,3
100,100,0.25,50,10000,4,0,3
101,100,0.5,1,100,4,0,3
102,100,0.5,10,100,4,0,3
103,100,0.5,10,1000,4,0,3
104,100,0.5,10,10000,4,0,3
105,100,0.5,50,100,4,0,3
106,100,0.5,50,1000,4,0,3
107,100,0.5,50,10000,4,0,3
108,100,0.75,1,100,4,0,3
109,100,0.75,1,10000,4,0,3
110,100,0.75,10,100,4,0,3
111,100,0.75,10,1000,4,0,3
112,100,0.75,10,10000,4,0,3
113,100,0.75,50,100,4,0,3
114,100,0.75,50,1000,4,0,3
115,100,0.75,50,10000,4,0,3
116,100,0.0,1,1000,8,0,4
117,100,0.0,10,100,8,0,4
